,Energy_1,Energy_2,Trip,Average_Speeds,Style,Motor_Way,City,Country_Road,Tire_Type,Parking_Heat,Consumption_1,Consumption_2
2096,"['1,76']",1.76,"['20,0']",36.0,['Normal'],1.0,1.0,1.0,['Winter tires'],0.0,"8,80",8.8
2097,"['3,72']",3.72,"['20,0']",48.0,['Normal'],1.0,1.0,1.0,['Winter tires'],0.0,"18,60",18.6
2098,"['71,27']",71.27,"['454,0']",76.0,['Moderate'],1.0,0.0,0.0,['Winter tires'],0.0,"15,70",76.0
2099,"['18,64']",18.64,"['118,0']",60.0,['Moderate'],0.0,0.0,1.0,['Winter tires'],0.0,"15,80",18.64
2100,"['76,58']",76.58,"['551,0']",70.0,['Moderate'],1.0,0.0,0.0,['Winter tires'],0.0,"13,90",13.9
2101,"['0,82']",0.82,"['5,0']",19.0,['Normal'],0.0,1.0,0.0,['Winter tires'],1.0,"16,40",16.4
2102,"['0,33']",0.33,"['2,0']",12.0,['Normal'],0.0,1.0,0.0,['Winter tires'],0.0,"16,50",16.6
2103,"['1,84']",1.84,"['19,0']",37.0,['Normal'],1.0,1.0,1.0,['Winter tires'],0.0,"9,68",9.7
2104,"['3,76']",3.76,"['20,0']",42.0,['Normal'],1.0,1.0,1.0,['Winter tires'],0.0,"18,80",18.8
2105,"['3,64']",3.64,"['20,0']",42.0,['Normal'],1.0,1.0,1.0,['Winter tires'],0.0,"18,20",18.2
2106,"['2,13']",2.13,"['22,0']",37.0,['Normal'],1.0,1.0,1.0,['Winter tires'],0.0,"9,68",9.7
2107,"['3,68']",3.68,"['20,0']",45.0,['Normal'],1.0,1.0,1.0,['Winter tires'],0.0,"18,40",18.4
2108,[],,[],,[],,,,[],,,
2109,"['2,68']",2.68,"['24,0']",30.0,['Normal'],0.0,1.0,1.0,['Winter tires'],0.0,"11,17",11.2
2110,"['3,70']",3.7,"['20,0']",43.0,['Normal'],1.0,1.0,1.0,['Winter tires'],0.0,"18,50",18.5
2111,"['7,03']",7.03,"['51,0']",33.0,['Normal'],1.0,1.0,1.0,['Winter tires'],0.0,"13,78",13.8
2112,"['4,00']",4.0,"['20,0']",45.0,['Normal'],1.0,1.0,1.0,['Winter tires'],1.0,"20,00",20.0
2113,"['1,55']",1.55,"['11,0']",31.0,['Normal'],0.0,1.0,0.0,['Winter tires'],0.0,"14,09",14.1
2114,"['1,92']",1.92,"['20,0']",41.0,['Normal'],1.0,1.0,1.0,['Winter tires'],0.0,"9,60",9.6
2115,"['3,57']",3.57,"['19,0']",53.0,['Normal'],1.0,1.0,1.0,['Winter tires'],0.0,"18,79",18.8
2116,"['4,49']",4.49,"['29,0']",39.0,['Normal'],0.0,1.0,1.0,['Winter tires'],1.0,"15,48",15.5
2117,"['1,73']",1.73,"['10,0']",25.0,['Normal'],0.0,1.0,0.0,['Winter tires'],0.0,"17,30",17.3
2118,"['3,76']",3.76,"['20,0']",51.0,['Fast'],1.0,1.0,1.0,['Winter tires'],0.0,"18,80",18.8
2119,"['2,10']",2.1,"['20,0']",43.0,['Normal'],1.0,1.0,1.0,['Winter tires'],1.0,"10,50",10.5
2120,"['3,86']",3.86,"['20,0']",50.0,['Fast'],1.0,1.0,1.0,['Winter tires'],0.0,"19,30",19.3
2121,"['3,08']",3.08,"['22,0']",37.0,['Normal'],1.0,1.0,1.0,['Winter tires'],1.0,"14,00",14.0
2122,"['0,37']",0.37,"['2,0']",23.0,['Normal'],0.0,1.0,0.0,['Winter tires'],0.0,"18,50",18.7
